,wave,gender,age,race,importance_same_race,importance_same_religion,field,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,sports,museums,tvsports,exercise,dining,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,shopping,music,yoga,expected_happy_with_sd_people,expected_num_matches,id_
1836,5.0,male,19.0,Asian/Pacific Islander/Asian-American,4.0,1.0,Computer Science,25.0,10.0,20.0,20.0,10.0,15.0,4.0,6.0,4.0,6.0,6.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,6.0,4.0,8.0,7.0,6.0,8.0,7.0,5.0,6.0,3.0,5.0,0.0,"5.0, male, 19.0, Asian/Pacific Islander/Asian-American, 4.0, 1.0, Computer Science, 25.0, 10.0, 20.0, 20.0, 10.0, 15.0, 4.0, 6.0, 4.0, 6.0, 6.0, 5.0, 5.0, 1.0, 5.0, 5.0, 5.0, 3.0, 6.0, 4.0, 8.0, 7.0, 6.0, 8.0, 7.0, 5.0, 6.0, 3.0, 5.0, 0.0"
3408,10.0,female,22.0,Other,1.0,5.0,Sociology and Education,20.0,20.0,20.0,10.0,10.0,20.0,7.0,7.0,8.0,8.0,10.0,5.0,9.0,3.0,10.0,10.0,5.0,2.0,1.0,4.0,9.0,5.0,6.0,5.0,5.0,7.0,9.0,4.0,5.0,1.0,"10.0, female, 22.0, Other, 1.0, 5.0, Sociology and Education, 20.0, 20.0, 20.0, 10.0, 10.0, 20.0, 7.0, 7.0, 8.0, 8.0, 10.0, 5.0, 9.0, 3.0, 10.0, 10.0, 5.0, 2.0, 1.0, 4.0, 9.0, 5.0, 6.0, 5.0, 5.0, 7.0, 9.0, 4.0, 5.0, 1.0"
3417,10.0,female,23.0,European/Caucasian-American,3.0,1.0,elementary education,15.0,15.0,20.0,20.0,20.0,10.0,6.0,9.0,9.0,8.0,9.0,1.0,9.0,3.0,3.0,10.0,10.0,2.0,1.0,7.0,7.0,1.0,9.0,9.0,6.0,10.0,10.0,7.0,5.0,1.0,"10.0, female, 23.0, European/Caucasian-American, 3.0, 1.0, elementary education, 15.0, 15.0, 20.0, 20.0, 20.0, 10.0, 6.0, 9.0, 9.0, 8.0, 9.0, 1.0, 9.0, 3.0, 3.0, 10.0, 10.0, 2.0, 1.0, 7.0, 7.0, 1.0, 9.0, 9.0, 6.0, 10.0, 10.0, 7.0, 5.0, 1.0"
3426,10.0,female,24.0,Asian/Pacific Islander/Asian-American,3.0,3.0,Biology,15.0,20.0,15.0,20.0,15.0,15.0,7.0,9.0,10.0,8.0,8.0,9.0,9.0,6.0,3.0,7.0,9.0,7.0,1.0,8.0,7.0,5.0,4.0,7.0,4.0,4.0,10.0,2.0,7.0,4.0,"10.0, female, 24.0, Asian/Pacific Islander/Asian-American, 3.0, 3.0, Biology, 15.0, 20.0, 15.0, 20.0, 15.0, 15.0, 7.0, 9.0, 10.0, 8.0, 8.0, 9.0, 9.0, 6.0, 3.0, 7.0, 9.0, 7.0, 1.0, 8.0, 7.0, 5.0, 4.0, 7.0, 4.0, 4.0, 10.0, 2.0, 7.0, 4.0"
3435,10.0,female,34.0,European/Caucasian-American,10.0,1.0,American Studies,10.0,20.0,20.0,20.0,20.0,10.0,8.0,10.0,7.0,8.0,8.0,1.0,8.0,1.0,10.0,7.0,9.0,9.0,1.0,1.0,10.0,6.0,8.0,6.0,2.0,2.0,9.0,10.0,4.0,0.0,"10.0, female, 34.0, European/Caucasian-American, 10.0, 1.0, American Studies, 10.0, 20.0, 20.0, 20.0, 20.0, 10.0, 8.0, 10.0, 7.0, 8.0, 8.0, 1.0, 8.0, 1.0, 10.0, 7.0, 9.0, 9.0, 1.0, 1.0, 10.0, 6.0, 8.0, 6.0, 2.0, 2.0, 9.0, 10.0, 4.0, 0.0"
3444,10.0,female,27.0,European/Caucasian-American,3.0,5.0,Arts Administration,15.0,20.0,20.0,15.0,15.0,15.0,10.0,9.0,10.0,9.0,8.0,8.0,10.0,5.0,8.0,8.0,10.0,8.0,2.0,8.0,7.0,5.0,9.0,9.0,10.0,7.0,10.0,6.0,5.0,2.0,"10.0, female, 27.0, European/Caucasian-American, 3.0, 5.0, Arts Administration, 15.0, 20.0, 20.0, 15.0, 15.0, 15.0, 10.0, 9.0, 10.0, 9.0, 8.0, 8.0, 10.0, 5.0, 8.0, 8.0, 10.0, 8.0, 2.0, 8.0, 7.0, 5.0, 9.0, 9.0, 10.0, 7.0, 10.0, 6.0, 5.0, 2.0"
3453,10.0,female,34.0,European/Caucasian-American,6.0,6.0,Conservation biology,10.0,25.0,20.0,20.0,5.0,20.0,7.0,9.0,7.0,9.0,4.0,3.0,8.0,3.0,5.0,8.0,7.0,8.0,1.0,6.0,9.0,6.0,8.0,8.0,6.0,1.0,7.0,8.0,7.0,1.0,"10.0, female, 34.0, European/Caucasian-American, 6.0, 6.0, Conservation biology, 10.0, 25.0, 20.0, 20.0, 5.0, 20.0, 7.0, 9.0, 7.0, 9.0, 4.0, 3.0, 8.0, 3.0, 5.0, 8.0, 7.0, 8.0, 1.0, 6.0, 9.0, 6.0, 8.0, 8.0, 6.0, 1.0, 7.0, 8.0, 7.0, 1.0"
3462,10.0,female,26.0,Asian/Pacific Islander/Asian-American,1.0,1.0,MBA,10.0,30.0,30.0,10.0,10.0,10.0,3.0,8.0,5.0,3.0,6.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,14.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,2.0,1.0,"10.0, female, 26.0, Asian/Pacific Islander/Asian-American, 1.0, 1.0, MBA, 10.0, 30.0, 30.0, 10.0, 10.0, 10.0, 3.0, 8.0, 5.0, 3.0, 6.0, 10.0, 10.0, 10.0, 9.0, 10.0, 8.0, 9.0, 14.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 3.0, 2.0, 1.0"
3471,10.0,female,29.0,Asian/Pacific Islander/Asian-American,1.0,1.0,Business,90.0,2.0,2.0,2.0,2.0,2.0,8.0,10.0,8.0,8.0,8.0,8.0,7.0,1.0,5.0,7.0,7.0,4.0,1.0,3.0,4.0,1.0,3.0,4.0,6.0,6.0,7.0,3.0,2.0,2.0,"10.0, female, 29.0, Asian/Pacific Islander/Asian-American, 1.0, 1.0, Business, 90.0, 2.0, 2.0, 2.0, 2.0, 2.0, 8.0, 10.0, 8.0, 8.0, 8.0, 8.0, 7.0, 1.0, 5.0, 7.0, 7.0, 4.0, 1.0, 3.0, 4.0, 1.0, 3.0, 4.0, 6.0, 6.0, 7.0, 3.0, 2.0, 2.0"
3480,10.0,female,26.0,Latino/Hispanic American,3.0,3.0,sociology,20.0,20.0,25.0,20.0,5.0,10.0,7.0,9.0,7.0,8.0,4.0,6.0,10.0,5.0,5.0,8.0,10.0,9.0,4.0,9.0,10.0,1.0,9.0,10.0,10.0,1.0,10.0,8.0,6.0,3.0,"10.0, female, 26.0, Latino/Hispanic American, 3.0, 3.0, sociology, 20.0, 20.0, 25.0, 20.0, 5.0, 10.0, 7.0, 9.0, 7.0, 8.0, 4.0, 6.0, 10.0, 5.0, 5.0, 8.0, 10.0, 9.0, 4.0, 9.0, 10.0, 1.0, 9.0, 10.0, 10.0, 1.0, 10.0, 8.0, 6.0, 3.0"
3489,10.0,male,27.0,European/Caucasian-American,2.0,3.0,Japanese Literature,20.0,20.0,20.0,25.0,5.0,10.0,7.0,9.0,8.0,9.0,5.0,7.0,5.0,2.0,7.0,9.0,8.0,5.0,7.0,3.0,9.0,5.0,5.0,9.0,8.0,6.0,8.0,2.0,6.0,3.0,"10.0, male, 27.0, European/Caucasian-American, 2.0, 3.0, Japanese Literature, 20.0, 20.0, 20.0, 25.0, 5.0, 10.0, 7.0, 9.0, 8.0, 9.0, 5.0, 7.0, 5.0, 2.0, 7.0, 9.0, 8.0, 5.0, 7.0, 3.0, 9.0, 5.0, 5.0, 9.0, 8.0, 6.0, 8.0, 2.0, 6.0, 3.0"
3498,10.0,male,28.0,European/Caucasian-American,8.0,9.0,MBA,20.0,20.0,20.0,10.0,10.0,20.0,7.0,10.0,7.0,10.0,10.0,5.0,6.0,2.0,10.0,8.0,4.0,9.0,1.0,3.0,13.0,9.0,8.0,9.0,3.0,3.0,4.0,1.0,5.0,1.0,"10.0, male, 28.0, European/Caucasian-American, 8.0, 9.0, MBA, 20.0, 20.0, 20.0, 10.0, 10.0, 20.0, 7.0, 10.0, 7.0, 10.0, 10.0, 5.0, 6.0, 2.0, 10.0, 8.0, 4.0, 9.0, 1.0, 3.0, 13.0, 9.0, 8.0, 9.0, 3.0, 3.0, 4.0, 1.0, 5.0, 1.0"
3507,10.0,male,32.0,European/Caucasian-American,1.0,6.0,Philosophy,18.0,10.0,30.0,10.0,10.0,22.0,5.0,7.0,6.0,8.0,7.0,3.0,7.0,1.0,2.0,6.0,8.0,4.0,8.0,6.0,9.0,2.0,7.0,8.0,6.0,1.0,6.0,6.0,2.0,2.0,"10.0, male, 32.0, European/Caucasian-American, 1.0, 6.0, Philosophy, 18.0, 10.0, 30.0, 10.0, 10.0, 22.0, 5.0, 7.0, 6.0, 8.0, 7.0, 3.0, 7.0, 1.0, 2.0, 6.0, 8.0, 4.0, 8.0, 6.0, 9.0, 2.0, 7.0, 8.0, 6.0, 1.0, 6.0, 6.0, 2.0, 2.0"
3516,10.0,male,25.0,European/Caucasian-American,7.0,1.0,biotechnology,35.0,20.0,10.0,20.0,10.0,5.0,7.0,8.0,6.0,7.0,6.0,6.0,5.0,5.0,5.0,7.0,5.0,3.0,2.0,6.0,8.0,8.0,9.0,9.0,8.0,5.0,9.0,2.0,3.0,5.0,"10.0, male, 25.0, European/Caucasian-American, 7.0, 1.0, biotechnology, 35.0, 20.0, 10.0, 20.0, 10.0, 5.0, 7.0, 8.0, 6.0, 7.0, 6.0, 6.0, 5.0, 5.0, 5.0, 7.0, 5.0, 3.0, 2.0, 6.0, 8.0, 8.0, 9.0, 9.0, 8.0, 5.0, 9.0, 2.0, 3.0, 5.0"
3525,10.0,male,25.0,Asian/Pacific Islander/Asian-American,1.0,1.0,Earth and Environmental Science,20.0,30.0,10.0,15.0,0.0,25.0,5.0,10.0,2.0,8.0,4.0,5.0,3.0,4.0,7.0,1.0,2.0,9.0,4.0,2.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,6.0,6.0,5.0,"10.0, male, 25.0, Asian/Pacific Islander/Asian-American, 1.0, 1.0, Earth and Environmental Science, 20.0, 30.0, 10.0, 15.0, 0.0, 25.0, 5.0, 10.0, 2.0, 8.0, 4.0, 5.0, 3.0, 4.0, 7.0, 1.0, 2.0, 9.0, 4.0, 2.0, 5.0, 3.0, 3.0, 3.0, 3.0, 2.0, 3.0, 6.0, 6.0, 5.0"
3534,10.0,male,27.0,Other,1.0,1.0,Business,25.0,15.0,20.0,20.0,15.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,5.0,1.0,8.0,7.0,1.0,8.0,6.0,8.0,6.0,3.0,7.0,7.0,4.0,6.0,7.0,1.0,6.0,2.0,"10.0, male, 27.0, Other, 1.0, 1.0, Business, 25.0, 15.0, 20.0, 20.0, 15.0, 5.0, 5.0, 6.0, 8.0, 8.0, 8.0, 7.0, 5.0, 1.0, 8.0, 7.0, 1.0, 8.0, 6.0, 8.0, 6.0, 3.0, 7.0, 7.0, 4.0, 6.0, 7.0, 1.0, 6.0, 2.0"
3543,10.0,male,33.0,Other,2.0,7.0,Finance,22.0,22.0,15.0,15.0,5.0,21.0,7.0,9.0,7.0,10.0,7.0,7.0,8.0,9.0,1.0,10.0,6.0,1.0,1.0,6.0,10.0,7.0,3.0,8.0,8.0,4.0,5.0,1.0,5.0,4.0,"10.0, male, 33.0, Other, 2.0, 7.0, Finance, 22.0, 22.0, 15.0, 15.0, 5.0, 21.0, 7.0, 9.0, 7.0, 10.0, 7.0, 7.0, 8.0, 9.0, 1.0, 10.0, 6.0, 1.0, 1.0, 6.0, 10.0, 7.0, 3.0, 8.0, 8.0, 4.0, 5.0, 1.0, 5.0, 4.0"
3552,10.0,male,25.0,Other,1.0,1.0,Classics,20.0,20.0,20.0,20.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,7.0,10.0,2.0,8.0,10.0,10.0,6.0,1.0,2.0,10.0,1.0,9.0,9.0,10.0,6.0,10.0,5.0,7.0,5.0,"10.0, male, 25.0, Other, 1.0, 1.0, Classics, 20.0, 20.0, 20.0, 20.0, 10.0, 10.0, 10.0, 9.0, 9.0, 10.0, 10.0, 7.0, 10.0, 2.0, 8.0, 10.0, 10.0, 6.0, 1.0, 2.0, 10.0, 1.0, 9.0, 9.0, 10.0, 6.0, 10.0, 5.0, 7.0, 5.0"
3561,10.0,male,33.0,Other,2.0,2.0,Philosophy [Ph.D.],19.0,19.0,19.0,19.0,19.0,5.0,8.0,10.0,9.0,10.0,9.0,7.0,8.0,6.0,1.0,6.0,8.0,5.0,8.0,4.0,9.0,7.0,6.0,9.0,6.0,2.0,8.0,3.0,5.0,1.0,"10.0, male, 33.0, Other, 2.0, 2.0, Philosophy [Ph.D.], 19.0, 19.0, 19.0, 19.0, 19.0, 5.0, 8.0, 10.0, 9.0, 10.0, 9.0, 7.0, 8.0, 6.0, 1.0, 6.0, 8.0, 5.0, 8.0, 4.0, 9.0, 7.0, 6.0, 9.0, 6.0, 2.0, 8.0, 3.0, 5.0, 1.0"
3570,11.0,female,28.0,Latino/Hispanic American,1.0,1.0,Political Science,0.0,25.0,25.0,25.0,25.0,0.0,9.0,9.0,9.0,9.0,10.0,4.0,7.0,3.0,3.0,8.0,6.0,7.0,4.0,9.0,9.0,2.0,9.0,9.0,9.0,9.0,9.0,2.0,10.0,2.0,"11.0, female, 28.0, Latino/Hispanic American, 1.0, 1.0, Political Science, 0.0, 25.0, 25.0, 25.0, 25.0, 0.0, 9.0, 9.0, 9.0, 9.0, 10.0, 4.0, 7.0, 3.0, 3.0, 8.0, 6.0, 7.0, 4.0, 9.0, 9.0, 2.0, 9.0, 9.0, 9.0, 9.0, 9.0, 2.0, 10.0, 2.0"
3591,11.0,female,33.0,Asian/Pacific Islander/Asian-American,1.0,1.0,sociology,25.0,30.0,10.0,10.0,5.0,20.0,8.0,10.0,9.0,8.0,7.0,5.0,10.0,3.0,5.0,8.0,10.0,6.0,1.0,6.0,10.0,7.0,7.0,10.0,7.0,7.0,7.0,3.0,7.0,8.0,"11.0, female, 33.0, Asian/Pacific Islander/Asian-American, 1.0, 1.0, sociology, 25.0, 30.0, 10.0, 10.0, 5.0, 20.0, 8.0, 10.0, 9.0, 8.0, 7.0, 5.0, 10.0, 3.0, 5.0, 8.0, 10.0, 6.0, 1.0, 6.0, 10.0, 7.0, 7.0, 10.0, 7.0, 7.0, 7.0, 3.0, 7.0, 8.0"
3612,11.0,female,22.0,European/Caucasian-American,8.0,3.0,Philosophy and Physics,25.0,7.0,25.0,25.0,8.0,10.0,8.0,7.0,8.0,10.0,8.0,8.0,9.0,2.0,6.0,10.0,9.0,8.0,1.0,7.0,9.0,8.0,9.0,9.0,7.0,7.0,7.0,8.0,6.0,2.0,"11.0, female, 22.0, European/Caucasian-American, 8.0, 3.0, Philosophy and Physics, 25.0, 7.0, 25.0, 25.0, 8.0, 10.0, 8.0, 7.0, 8.0, 10.0, 8.0, 8.0, 9.0, 2.0, 6.0, 10.0, 9.0, 8.0, 1.0, 7.0, 9.0, 8.0, 9.0, 9.0, 7.0, 7.0, 7.0, 8.0, 6.0, 2.0"
3633,11.0,female,26.0,Asian/Pacific Islander/Asian-American,3.0,1.0,nutrition,16.67,16.67,16.67,16.67,16.67,16.67,6.0,8.0,6.0,7.0,6.0,6.0,6.0,8.0,9.0,6.0,6.0,4.0,2.0,5.0,6.0,4.0,7.0,7.0,8.0,9.0,8.0,1.0,6.0,0.0,"11.0, female, 26.0, Asian/Pacific Islander/Asian-American, 3.0, 1.0, nutrition, 16.67, 16.67, 16.67, 16.67, 16.67, 16.67, 6.0, 8.0, 6.0, 7.0, 6.0, 6.0, 6.0, 8.0, 9.0, 6.0, 6.0, 4.0, 2.0, 5.0, 6.0, 4.0, 7.0, 7.0, 8.0, 9.0, 8.0, 1.0, 6.0, 0.0"
3654,11.0,female,24.0,Asian/Pacific Islander/Asian-American,6.0,5.0,Medicine,15.0,25.0,20.0,20.0,10.0,10.0,6.0,9.0,6.0,8.0,6.0,5.0,6.0,3.0,6.0,7.0,5.0,6.0,5.0,5.0,5.0,8.0,6.0,8.0,8.0,9.0,8.0,3.0,6.0,2.0,"11.0, female, 24.0, Asian/Pacific Islander/Asian-American, 6.0, 5.0, Medicine, 15.0, 25.0, 20.0, 20.0, 10.0, 10.0, 6.0, 9.0, 6.0, 8.0, 6.0, 5.0, 6.0, 3.0, 6.0, 7.0, 5.0, 6.0, 5.0, 5.0, 5.0, 8.0, 6.0, 8.0, 8.0, 9.0, 8.0, 3.0, 6.0, 2.0"
3675,11.0,female,24.0,European/Caucasian-American,5.0,6.0,Art Education,22.0,14.0,30.0,10.0,14.0,10.0,7.0,9.0,7.0,9.0,10.0,7.0,10.0,1.0,6.0,9.0,10.0,10.0,3.0,4.0,10.0,2.0,5.0,10.0,10.0,4.0,10.0,10.0,3.0,0.0,"11.0, female, 24.0, European/Caucasian-American, 5.0, 6.0, Art Education, 22.0, 14.0, 30.0, 10.0, 14.0, 10.0, 7.0, 9.0, 7.0, 9.0, 10.0, 7.0, 10.0, 1.0, 6.0, 9.0, 10.0, 10.0, 3.0, 4.0, 10.0, 2.0, 5.0, 10.0, 10.0, 4.0, 10.0, 10.0, 3.0, 0.0"
3696,11.0,female,25.0,Other,1.0,10.0,MA Science Education,7.0,35.0,20.0,20.0,5.0,13.0,6.0,10.0,8.0,9.0,5.0,9.0,8.0,6.0,7.0,7.0,3.0,10.0,4.0,1.0,10.0,3.0,8.0,5.0,2.0,6.0,6.0,2.0,6.0,5.0,"11.0, female, 25.0, Other, 1.0, 10.0, MA Science Education, 7.0, 35.0, 20.0, 20.0, 5.0, 13.0, 6.0, 10.0, 8.0, 9.0, 5.0, 9.0, 8.0, 6.0, 7.0, 7.0, 3.0, 10.0, 4.0, 1.0, 10.0, 3.0, 8.0, 5.0, 2.0, 6.0, 6.0, 2.0, 6.0, 5.0"
3717,11.0,female,25.0,European/Caucasian-American,2.0,2.0,Genetics,15.0,18.0,19.0,19.0,17.0,12.0,7.0,9.0,8.0,8.0,9.0,8.0,7.0,3.0,7.0,8.0,7.0,4.0,2.0,7.0,8.0,6.0,7.0,7.0,5.0,5.0,7.0,6.0,5.0,2.0,"11.0, female, 25.0, European/Caucasian-American, 2.0, 2.0, Genetics, 15.0, 18.0, 19.0, 19.0, 17.0, 12.0, 7.0, 9.0, 8.0, 8.0, 9.0, 8.0, 7.0, 3.0, 7.0, 8.0, 7.0, 4.0, 2.0, 7.0, 8.0, 6.0, 7.0, 7.0, 5.0, 5.0, 7.0, 6.0, 5.0, 2.0"
3738,11.0,female,27.0,Asian/Pacific Islander/Asian-American,4.0,4.0,Genetics,19.0,20.0,19.0,14.0,13.0,15.0,6.0,9.0,7.0,9.0,6.0,9.0,5.0,6.0,7.0,9.0,5.0,6.0,2.0,3.0,9.0,6.0,7.0,7.0,9.0,5.0,9.0,3.0,6.0,4.0,"11.0, female, 27.0, Asian/Pacific Islander/Asian-American, 4.0, 4.0, Genetics, 19.0, 20.0, 19.0, 14.0, 13.0, 15.0, 6.0, 9.0, 7.0, 9.0, 6.0, 9.0, 5.0, 6.0, 7.0, 9.0, 5.0, 6.0, 2.0, 3.0, 9.0, 6.0, 7.0, 7.0, 9.0, 5.0, 9.0, 3.0, 6.0, 4.0"
3759,11.0,female,26.0,Asian/Pacific Islander/Asian-American,1.0,4.0,biology,15.0,20.0,20.0,20.0,15.0,10.0,5.0,8.0,7.0,7.0,8.0,6.0,9.0,4.0,3.0,9.0,8.0,3.0,5.0,8.0,9.0,2.0,9.0,9.0,9.0,4.0,9.0,6.0,3.0,4.0,"11.0, female, 26.0, Asian/Pacific Islander/Asian-American, 1.0, 4.0, biology, 15.0, 20.0, 20.0, 20.0, 15.0, 10.0, 5.0, 8.0, 7.0, 7.0, 8.0, 6.0, 9.0, 4.0, 3.0, 9.0, 8.0, 3.0, 5.0, 8.0, 9.0, 2.0, 9.0, 9.0, 9.0, 4.0, 9.0, 6.0, 3.0, 4.0"
3780,11.0,female,29.0,European/Caucasian-American,1.0,10.0,Psychology,10.0,40.0,20.0,20.0,0.0,10.0,6.0,10.0,5.0,9.0,3.0,9.0,7.0,9.0,8.0,7.0,3.0,7.0,1.0,3.0,10.0,4.0,1.0,7.0,5.0,1.0,8.0,1.0,1.0,1.0,"11.0, female, 29.0, European/Caucasian-American, 1.0, 10.0, Psychology, 10.0, 40.0, 20.0, 20.0, 0.0, 10.0, 6.0, 10.0, 5.0, 9.0, 3.0, 9.0, 7.0, 9.0, 8.0, 7.0, 3.0, 7.0, 1.0, 3.0, 10.0, 4.0, 1.0, 7.0, 5.0, 1.0, 8.0, 1.0, 1.0, 1.0"
3801,11.0,female,26.0,Black/African American,9.0,10.0,Psychology,20.0,20.0,20.0,10.0,20.0,10.0,8.0,8.0,8.0,8.0,5.0,1.0,7.0,1.0,1.0,5.0,7.0,7.0,1.0,3.0,9.0,4.0,7.0,7.0,7.0,9.0,8.0,6.0,1.0,2.0,"11.0, female, 26.0, Black/African American, 9.0, 10.0, Psychology, 20.0, 20.0, 20.0, 10.0, 20.0, 10.0, 8.0, 8.0, 8.0, 8.0, 5.0, 1.0, 7.0, 1.0, 1.0, 5.0, 7.0, 7.0, 1.0, 3.0, 9.0, 4.0, 7.0, 7.0, 7.0, 9.0, 8.0, 6.0, 1.0, 2.0"
3822,11.0,female,26.0,European/Caucasian-American,1.0,3.0,English,15.0,15.0,25.0,20.0,5.0,20.0,8.0,7.0,8.0,9.0,5.0,7.0,7.0,1.0,7.0,5.0,8.0,6.0,1.0,5.0,9.0,7.0,4.0,8.0,2.0,2.0,6.0,1.0,3.0,2.0,"11.0, female, 26.0, European/Caucasian-American, 1.0, 3.0, English, 15.0, 15.0, 25.0, 20.0, 5.0, 20.0, 8.0, 7.0, 8.0, 9.0, 5.0, 7.0, 7.0, 1.0, 7.0, 5.0, 8.0, 6.0, 1.0, 5.0, 9.0, 7.0, 4.0, 8.0, 2.0, 2.0, 6.0, 1.0, 3.0, 2.0"
3843,11.0,female,32.0,European/Caucasian-American,3.0,3.0,Law and English Literature [J.D./Ph.D.],15.0,5.0,45.0,10.0,15.0,10.0,7.0,9.0,7.0,10.0,10.0,2.0,7.0,9.0,8.0,8.0,8.0,2.0,1.0,2.0,10.0,6.0,7.0,10.0,8.0,2.0,9.0,1.0,3.0,0.0,"11.0, female, 32.0, European/Caucasian-American, 3.0, 3.0, Law and English Literature [J.D./Ph.D.], 15.0, 5.0, 45.0, 10.0, 15.0, 10.0, 7.0, 9.0, 7.0, 10.0, 10.0, 2.0, 7.0, 9.0, 8.0, 8.0, 8.0, 2.0, 1.0, 2.0, 10.0, 6.0, 7.0, 10.0, 8.0, 2.0, 9.0, 1.0, 3.0, 0.0"
3864,11.0,female,28.0,European/Caucasian-American,2.0,2.0,french,25.0,20.0,20.0,25.0,0.0,10.0,8.0,8.0,7.0,7.0,4.0,5.0,7.0,4.0,5.0,4.0,8.0,8.0,1.0,6.0,5.0,1.0,4.0,10.0,6.0,2.0,7.0,6.0,4.0,4.0,"11.0, female, 28.0, European/Caucasian-American, 2.0, 2.0, french, 25.0, 20.0, 20.0, 25.0, 0.0, 10.0, 8.0, 8.0, 7.0, 7.0, 4.0, 5.0, 7.0, 4.0, 5.0, 4.0, 8.0, 8.0, 1.0, 6.0, 5.0, 1.0, 4.0, 10.0, 6.0, 2.0, 7.0, 6.0, 4.0, 4.0"
3885,11.0,female,26.0,Asian/Pacific Islander/Asian-American,2.0,2.0,Nutritiron,20.0,30.0,10.0,15.0,10.0,15.0,7.0,6.0,5.0,7.0,7.0,4.0,7.0,8.0,5.0,9.0,6.0,4.0,7.0,8.0,3.0,9.0,5.0,9.0,4.0,10.0,9.0,2.0,4.0,0.0,"11.0, female, 26.0, Asian/Pacific Islander/Asian-American, 2.0, 2.0, Nutritiron, 20.0, 30.0, 10.0, 15.0, 10.0, 15.0, 7.0, 6.0, 5.0, 7.0, 7.0, 4.0, 7.0, 8.0, 5.0, 9.0, 6.0, 4.0, 7.0, 8.0, 3.0, 9.0, 5.0, 9.0, 4.0, 10.0, 9.0, 2.0, 4.0, 0.0"
3906,11.0,female,24.0,Latino/Hispanic American,1.0,1.0,GS Postbacc PreMed,30.0,20.0,20.0,10.0,15.0,5.0,9.0,9.0,8.0,9.0,9.0,8.0,4.0,6.0,6.0,5.0,3.0,6.0,5.0,5.0,8.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,"11.0, female, 24.0, Latino/Hispanic American, 1.0, 1.0, GS Postbacc PreMed, 30.0, 20.0, 20.0, 10.0, 15.0, 5.0, 9.0, 9.0, 8.0, 9.0, 9.0, 8.0, 4.0, 6.0, 6.0, 5.0, 3.0, 6.0, 5.0, 5.0, 8.0, 4.0, 5.0, 5.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0"
3927,11.0,female,24.0,European/Caucasian-American,4.0,5.0,Art History,20.0,10.0,30.0,15.0,15.0,10.0,8.0,8.0,6.0,8.0,7.0,4.0,8.0,1.0,8.0,8.0,10.0,7.0,3.0,1.0,10.0,3.0,6.0,6.0,6.0,4.0,9.0,2.0,6.0,1.0,"11.0, female, 24.0, European/Caucasian-American, 4.0, 5.0, Art History, 20.0, 10.0, 30.0, 15.0, 15.0, 10.0, 8.0, 8.0, 6.0, 8.0, 7.0, 4.0, 8.0, 1.0, 8.0, 8.0, 10.0, 7.0, 3.0, 1.0, 10.0, 3.0, 6.0, 6.0, 6.0, 4.0, 9.0, 2.0, 6.0, 1.0"
3948,11.0,female,23.0,Asian/Pacific Islander/Asian-American,2.0,4.0,Biology,16.0,16.0,19.0,17.0,14.0,18.0,5.0,4.0,7.0,8.0,6.0,8.0,8.0,4.0,6.0,9.0,7.0,8.0,4.0,6.0,9.0,2.0,7.0,5.0,6.0,6.0,7.0,4.0,5.0,6.0,"11.0, female, 23.0, Asian/Pacific Islander/Asian-American, 2.0, 4.0, Biology, 16.0, 16.0, 19.0, 17.0, 14.0, 18.0, 5.0, 4.0, 7.0, 8.0, 6.0, 8.0, 8.0, 4.0, 6.0, 9.0, 7.0, 8.0, 4.0, 6.0, 9.0, 2.0, 7.0, 5.0, 6.0, 6.0, 7.0, 4.0, 5.0, 6.0"
3969,11.0,female,23.0,European/Caucasian-American,10.0,9.0,Social Work,10.0,15.0,40.0,15.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,7.0,10.0,9.0,10.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,9.0,8.0,5.0,8.0,2.0,"11.0, female, 23.0, European/Caucasian-American, 10.0, 9.0, Social Work, 10.0, 15.0, 40.0, 15.0, 10.0, 10.0, 9.0, 10.0, 10.0, 9.0, 10.0, 8.0, 10.0, 7.0, 10.0, 9.0, 10.0, 5.0, 5.0, 6.0, 7.0, 7.0, 9.0, 9.0, 9.0, 9.0, 8.0, 5.0, 8.0, 2.0"
